Rank,Company,City,State
1,Walmart,Bentonville,AR
2,Exxon Mobil,Irving,TX
3,Berkshire Hathaway,Omaha,NE
4,Apple,Cupertino,CA
5,UnitedHealth Group,Minnetonka,MN
6,McKesson,SF,CA
7,CVS Health,Woonsocket,RI
8,Amazon.com,Seattle,WA
9,AT&T,Dallas,TX
10,General Motors,Detroit,MI
11,Ford Motor,Dearborn,MI
12,AmerisourceBergen,Chesterbrook,PA
13,Chevron,San Ramon,CA
14,Cardinal Health,Dublin,OH
15,Costco,Issaquah,WA
16,Verizon,New York,NY
17,Kroger,Cincinnati,OH
18,General Electric,Boston,MA
19,Walgreens Boots Alliance,Deerfield,IL
20,JPMorgan Chase,New York,NY
21,Fannie Mae,Leavenworth,WA
22,Alphabet,Mountain View,CA
23,Home Depot,Atlanta,GA
24,Bank of America Corp.,Charlotte,NC
25,Express Scripts Holding,St. Louis,MO
26,Wells Fargo,SF,CA
27,Boeing,Chicago,IL
28,Phillips 66,Houston,TX
29,Anthem,Indianapolis,IN
30,Microsoft,Redmond,WA
31,Valero Energy,San Antonio,TX
32,Citigroup,New York,NY
33,Comcast,Philadelphia,PA
34,IBM,Armonk,NY
35,Dell Technologies,Round Rock,TX
36,State Farm Insurance Cos.,Bloomington,IL
37,Johnson & Johnson,New Brunswick,NJ
38,Freddie Mac,McLean,VA
39,Target,Minneapolis,MN
40,Lowes,Mooresville,NC
41,Marathon Petroleum,Findlay,OH
42,Procter & Gamble,Cincinnati,OH
43,MetLife,New York,NY
44,UPS,Atlanta,GA
45,PepsiCo,Harrison,NY
46,Intel,Santa Clara,CA
47,DowDuPont,Midland,MI
48,Archer Daniels Midland,Chicago,IL
49,Aetna,Hartford,CT
50,FedEx,Memphis,TN
51,United Technologies,Farmington,CT
52,Prudential Financial,Newark,NJ
53,Albertsons Cos.,Boise,ID
54,Sysco,Houston,TX
55,Disney,Burbank,CA
56,Humana,Louisville,KY
57,Pfizer,New York,NY
58,HP,Palo Alto,CA
59,Lockheed Martin,Bethesda,MD
60,AIG,New York,NY
61,Centene,St. Louis,MO
62,Cisco Systems,San Jose,CA
63,HCA Healthcare,Nashville,TN
64,Energy Transfer Equity,Dallas,TX
65,Caterpillar,Deerfield,IL
66,Nationwide,Columbus,OH
67,Morgan Stanley,New York,NY
68,Liberty Mutual Insurance Group,Boston,MA
69,New York Life Insurance,New York,NY
70,Goldman Sachs Group,New York,NY
71,American Airlines Group,Fort Worth,TX
72,Best Buy,Richfield,MN
73,Cigna,Bloomfield,CT
74,Charter Communications,Stamford,CT
75,Delta Air Lines,Atlanta,GA
76,Facebook,Menlo Park,CA
77,Honeywell International,Morris Plains,NJ
78,Merck,Kenilworth,NJ
79,Allstate,Northbrook,IL
80,Tyson Foods,Springdale,AR
81,United Continental Holdings,Chicago,IL
82,Oracle,Redwood City,CA
83,Tech Data,Clearwater,FL
84,TIAA,New York,NY
85,TJX,Framingham,MA
86,American Express,New York,NY
87,Coca-Cola,Atlanta,GA
88,Publix Super Markets,Lakeland,FL
89,Nike,Beaverton,OR
90,Andeavor,San Antonio,TX
91,World Fuel Services,Miami,FL
92,Exelon,Chicago,IL
93,Massachusetts Mutual Life Insurance,Springfield,MA
94,Rite Aid,Camp Hill,PA
95,ConocoPhillips,Houston,TX
96,CHS,Inver Grove Heights,MN
97,3M,St Paul,MN
98,Time Warner,New York,NY
99,General Dynamics,Falls Church,VA
100,USAA,San Antonio,TX
101,Capital One Financial,McLean,VA
102,Deere,Moline,IL
103,INTL FCStone,New York,NY
104,Northwestern Mutual,Milwaukee,WI
105,Enterprise Products Partners,Houston,TX
106,Travelers Cos.,New York,NY
107,Hewlett Packard Enterprise,Palo Alto,CA
108,Philip Morris International,New York,NY
109,Twenty-First Century Fox,New York,NY
110,AbbVie,North Chicago,IL
111,Abbott Laboratories,Lake Bluff,IL
112,Progressive,Mayfield,OH
113,Arrow Electronics,Centennial,CO
114,Kraft Heinz,Pittsburgh,PA
115,Plains GP Holdings,Houston,TX
116,Gilead Sciences,San Mateo,CA
117,Mondelez International,Deerfield,IL
118,Northrop Grumman,Falls Church,VA
119,Raytheon,Waltham,MA
120,Macys,Cincinnati,OH
121,US Foods Holding,Rosemont,IL
122,U.S. Bancorp,Minneapolis,MN
123,Dollar General,Goodlettsville,TN
124,International Paper,Memphis,TN
125,Duke Energy,Charlotte,NC
126,Southern,Atlanta,GA
127,Marriott International,Bethesda,MD
